IncidentID,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,Section,Before/After Construction
31364987,HARDIN,US0031W,,DIXIE,AVE,37.74346117,-85.89139325,20.571,3/8/2023,1656,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31441968,HARDIN,US0031W,,DIXIE,AVE,37.73388546,-85.88702706,19.898,3/11/2023,1132,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31441915,HARDIN,US0031W,,DIXIE,AVE,37.72848664,-85.88433909,19.504,3/15/2023,1412,3,3,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31399703,HARDIN,US0031W,,DIXIE,AVE,37.72838606,-85.88430696,19.497,3/16/2023,1305,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31411694,HARDIN,US0031W,,DIXIE,AVE,37.74113158,-85.89053068,20.421,3/16/2023,2119,2,2,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,KY 3005 to Crutz Lane,After
31441926,HARDIN,US0031W,,DIXIE,AVE,37.73338865,-85.88645134,19.859,3/17/2023,1003,2,2,0,1,RAINING,WET,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31441921,HARDIN,US0031W,,DIXIE,AVE,37.73963371,-85.88962054,20.323,3/20/2023,1251,2,2,0,1,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & GRADE,DAYLIGHT,KY 3005 to Crutz Lane,After
31486430,HARDIN,US0031W,,DIXIE,AVE,37.73942647,-85.88949848,20.31,3/24/2023,1447,2,2,0,0,RAINING,WET,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31441937,HARDIN,US0031W,,DIXIE,AVE,37.74135275,-85.89070398,20.449,3/25/2023,1120,2,2,0,0,CLEAR,DRY,TRUE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31486405,HARDIN,US0031W,,DIXIE,AVE,37.73957733,-85.88962383,20.32,3/28/2023,1430,3,3,0,1,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31486350,HARDIN,US0031W,,DIXIE,AVE,37.7334976,-85.8866194,19.868,4/3/2023,1105,2,2,0,0,CLOUDY,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31486455,HARDIN,US0031W,,DIXIE,AVE,37.72890343,-85.88434089,19.525,4/5/2023,1323,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31566742,HARDIN,US0031W,,DIXIE,AVE,37.74112104,-85.89034743,20.42,4/11/2023,1351,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31641407,HARDIN,US0031W,,DIXIE,AVE,37.74322242,-85.89155847,20.57,4/15/2023,1208,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
