IncidentID,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,CollisionYear,Before/After Construction
32446853,HARDIN,US0031W,,DIXIE,AVE,37.70872811,-85.87385552,18.02,11/1/2023,1302,2,2,0,0,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32406253,HARDIN,US0031W,,DIXIE,AVE,37.70882542,-85.87401138,18.032,10/28/2023,1256,2,2,0,0,CLOUDY,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2023,After
32446852,HARDIN,US0031W,,DIXIE,AVE,37.71076558,-85.87543093,18.187,10/27/2023,1748,2,2,0,0,CLOUDY,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32377841,HARDIN,US0031W,,DIXIE,AVE,37.71781652,-85.87907011,18.716,10/21/2023,1352,2,2,0,0,CLEAR,DRY,1,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32335083,HARDIN,US0031W,,DIXIE,AVE,37.71757823,-85.87866451,18.693,10/9/2023,1231,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32281352,HARDIN,US0031W,,DIXIE,AVE,37.7127907,-85.87662426,18.335,9/27/2023,0801,2,2,0,1,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32356842,HARDIN,US0031W,,DIXIE,AVE,37.70719698,-85.87312527,17.884,9/20/2023,2005,2,2,0,0,CLOUDY,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2023,After
32281386,HARDIN,US0031W,,DIXIE,AVE,37.70438851,-85.87141689,17.689,9/20/2023,0943,2,2,0,0,CLEAR,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32367358,HARDIN,US0031W,,DIXIE,AVE,37.70879804,-85.87428971,18.031,9/17/2023,1707,2,2,0,0,CLEAR,DRY,0,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32367301,HARDIN,US0031W,,DIXIE,AVE,37.70438991,-85.87141316,17.689,9/15/2023,1118,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32180984,HARDIN,US0031W,,DIXIE,AVE,37.70888212,-85.87403705,18.018,9/8/2023,1502,3,3,0,0,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
